"User"    , "Name"                                                                     , "Status"
"Admin"   , "GET /assets?sortBy=purchaseCost&sortOrder=desc ? sort works"              , "FAIL"
"Admin"   , "GET /assets?page=1&limit=2 ? pagination works"                            , "PASS"
"Admin"   , "GET /assets/:id ? furniture (tracked_non_capitalized)"                    , "PASS"
"Admin"   , "GET /assets/:id/timeline ? furniture timeline"                            , "PASS"
"Admin"   , "GET /branches/:id ? Abuja branch detail"                                  , "PASS"
"Admin"   , "GET /branches/:id ? PHC branch detail"                                    , "PASS"
"Admin"   , "DELETE /branches/:id ? soft delete PHC branch (no assets)"                , "PASS"
"Admin"   , "GET /maintenance?priority=critical ? filter by priority"                  , "PASS"
"Admin"   , "GET /maintenance?status=completed ? filter completed tasks"               , "PASS"
"Admin"   , "GET /notifications?limit=5 ? paginated notifications"                     , "PASS"
"Admin"   , "PATCH /notifications/:id/read ? mark single notification read"            , "PASS"
"Admin"   , "GET /assets?status=disposed ? disposed filter"                            , "PASS"
"Admin"   , "GET /assets?status=maintenance ? maintenance filter"                      , "PASS"
"AssetMgr", "POST /auth/register ? Asset Manager creates account"                      , "PASS"
"Finance" , "POST /auth/register ? Finance User creates account"                       , "PASS"
